epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.83723,1.93813,5.31295,1.25543,0,0,0,0,2.53288,4.51889,1.27478,0,0,0
2,6.82924,2.06234,5.72912,1.25115,0,0,0,0,2.51566,4.51919,1.27044,1.089e-05,1.089e-05,1.089e-05
3,9.95962,2.47174,6.07465,1.32773,0,0,0,0,2.5001,4.51621,1.26796,2.13401e-05,2.13401e-05,2.13401e-05
4,13.0036,1.92296,4.93597,1.14576,0,0,0,0,2.4666,4.50564,1.26405,3.13502e-05,3.13502e-05,3.13502e-05
5,16.0142,2.32843,5.64952,1.27448,0,0,0,0,2.47422,4.44906,1.28635,4.09204e-05,4.09204e-05,4.09204e-05
6,19.0123,1.68439,4.99783,1.23911,0,0,0,0,2.40421,4.45578,1.2735,5.00506e-05,5.00506e-05,5.00506e-05
7,22.0388,1.6761,4.88641,1.10258,0,0,0,0,2.35445,4.45689,1.26249,5.87408e-05,5.87408e-05,5.87408e-05
8,25.1212,1.939,4.97446,1.208,0,0,0,0,2.33792,4.4589,1.25904,6.69911e-05,6.69911e-05,6.69911e-05
9,28.1188,1.73813,4.86647,1.24945,0.00629,0.09091,0.00362,0.00109,2.33858,4.44881,1.26969,7.48014e-05,7.48014e-05,7.48014e-05
10,31.221,1.78177,4.55861,1.18011,0.00694,0.09091,0.00445,0.00089,2.35746,4.41027,1.28782,8.21718e-05,8.21718e-05,8.21718e-05
11,34.3367,1.87522,4.27331,1.20581,0.00694,0.09091,0.00466,0.00093,2.23385,4.44254,1.24372,8.91022e-05,8.91022e-05,8.91022e-05
12,37.3869,1.6566,4.35401,1.0786,0.00667,0.09091,0.00498,0.0005,2.19186,4.46129,1.24198,9.55927e-05,9.55927e-05,9.55927e-05
13,40.3469,1.5241,4.64261,1.10716,0,0,0,0,2.23496,4.43386,1.25941,0.000101643,0.000101643,0.000101643
14,43.4622,1.67133,4.2446,1.05852,0,0,0,0,2.24618,4.50611,1.27357,0.000107254,0.000107254,0.000107254
15,47.0614,2.29684,5.40129,1.19795,0,0,0,0,2.30844,4.50038,1.31879,0.000112424,0.000112424,0.000112424
16,50.3121,1.35859,2.71188,0.91893,0,0,0,0,2.38492,4.62165,1.37231,0.000117155,0.000117155,0.000117155
17,53.5588,1.66758,2.77061,1.06388,0,0,0,0,2.4408,4.63552,1.41645,0.000121446,0.000121446,0.000121446
18,56.7023,1.57366,3.01678,1.06803,0,0,0,0,2.4408,4.63552,1.41645,0.000125296,0.000125296,0.000125296
19,60.9612,1.20006,2.18639,0.96846,0.00397,0.09091,0.0025,0.00025,2.40852,4.60541,1.39156,0.000128707,0.000128707,0.000128707
20,64.8333,1.5603,2.45833,1.08739,0.00397,0.09091,0.0025,0.00025,2.40852,4.60541,1.39156,0.000131678,0.000131678,0.000131678
21,68.7652,1.47387,2.70557,1.09416,0.00395,0.09091,0.00253,0.00051,2.35666,4.49904,1.36813,0.000134209,0.000134209,0.000134209
